Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Bihar, 31-12-2022, M, 26.96, 2728651.00, 35.91
Bihar, 31-01-2023, M, 16.66, 2947547.00, 33.92
Bihar, 28-02-2023, M, 17.50, 2888939.00, 33.52
Chandigarh, 31-01-2016, M, 8.43, 344491.00, 43.23
Chandigarh, 29-02-2016, M, 15.15, 355180.00, 48.00
Chandigarh, 31-03-2016, M, 11.11, 221271.00, 28.48
Chandigarh, 30-04-2016, M, 9.09, 373604.00, 46.92
Chandigarh, 31-05-2016, M, 10.59, 346572.00, 44.16
Chandigarh, 30-06-2016, M, 5.98, 355766.00, 43.01
Chandigarh, 31-07-2016, M, 4.08, 300276.00, 35.51
Chandigarh, 31-08-2016, M, 4.26, 368173.00, 43.52
Chandigarh, 30-09-2016, M, 8.63, 334702.00, 41.37
Chandigarh, 31-10-2016, M, 0.00, 358700.00, 40.42
Chandigarh, 30-11-2016, M, 1.61, 317264.00, 36.26
Chandigarh, 31-12-2016, M, 5.38, 315016.00, 37.35
Chandigarh, 31-01-2017, M, 5.56, 317214.00, 37.60
Chandigarh, 28-02-2017, M, 5.15, 319191.00, 37.60
Chandigarh, 31-03-2017, M, 0.00, 254002.00, 28.31
Chandigarh, 30-04-2017, M, 0.00, 355515.00, 39.54
Chandigarh, 31-05-2017, M, 13.53, 284670.00, 36.54
Chandigarh, 30-06-2017, M, 9.18, 313927.00, 38.28
Chandigarh, 31-07-2017, M, 6.12, 253839.00, 29.88
Chandigarh, 31-08-2017, M, 6.52, 312010.00, 36.80
Chandigarh, 30-09-2017, M, 6.06, 311932.00, 36.53
Chandigarh, 31-10-2017, M, 9.35, 329723.00, 39.93
Chandigarh, 30-11-2017, M, 12.05, 258316.00, 32.17
Chandigarh, 31-12-2017, M, 5.38, 312089.00, 36.05
Chandigarh, 31-01-2018, M, 12.90, 280300.00, 35.09
Chandigarh, 28-02-2018, M, 8.04, 347958.00, 41.18
Chandigarh, 31-03-2018, M, 17.28, 250823.00, 32.93
Chandigarh, 30-04-2018, M, 8.42, 298492.00, 35.32
Chandigarh, 31-05-2018, M, 7.62, 303120.00, 35.47
Chandigarh, 30-06-2018, M, 8.06, 311730.00, 36.58
Chandigarh, 31-07-2018, M, 18.02, 263379.00, 34.58
Chandigarh, 31-08-2018, M, 8.00, 323508.00, 37.76
Chandigarh, 30-09-2018, M, 15.38, 321687.00, 40.74
Chandigarh, 31-10-2018, M, 11.64, 331448.00, 40.11
Chandigarh, 30-11-2018, M, 19.05, 280359.00, 36.95
Chandigarh, 31-12-2018, M, 8.13, 335917.00, 38.92
Chandigarh, 31-01-2019, M, 15.13, 343084.00, 42.94
Chandigarh, 28-02-2019, M, 15.58, 342573.00, 43.02
Chandigarh, 31-03-2019, M, 22.73, 285332.00, 39.05
Chandigarh, 30-04-2019, M, 9.02, 333905.00, 38.73
Chandigarh, 31-05-2019, M, 18.35, 348042.00, 44.89
Chandigarh, 30-06-2019, M, 12.40, 337145.00, 40.44
Chandigarh, 31-07-2019, M, 21.80, 294379.00, 39.47
Chandigarh, 31-08-2019, M, 9.52, 328282.00, 37.95
Chandigarh, 30-09-2019, M, 20.14, 327239.00, 42.77
Chandigarh, 31-10-2019, M, 13.99, 330856.00, 40.06
Chandigarh, 30-11-2019, M, 22.05, 289592.00, 38.60
